# Plybond	D_int	Pared	Humedad	Resistencia
180	45.9	0.720000000000002	6.90	46
240	105.6	1.8	6.70	58
180	40.6	0.979999999999997	5.90	64
240	90.7	2.045	6.60	66
240	90.8	1.845	6.80	72
240	90.4	2.38	6.70	73
206.666666666667	75.7	2.25	6.60	78
225.714285714286	76.3	2.1	6.80	85
240	200.0	4	6.70	85
180	70.0	2.195	5.90	86
240	72.5	2.095	7.60	96
240	100.7	2.25	6.10	111
240	100.3	2.55	7.60	112
216.923076923077	77.0	1.875	7.70	119
240	100.1	2.6	7.00	121
240	72.3	2.35	6.90	124
229.655172413793	76.2	2.495	6.30	130
200.869565217391	56.8	2.3	8.50	132
193.333333333333	120.0	3.5	8.80	153
240	76.3	2.95	6.90	153
240	0.0	0	8.30	156
200.869565217391	56.6	2.25	7.10	162
200.869565217391	56.2	2.66	7.60	170
200.869565217391	56.0	2.65	8.00	177
240	75.8	3.15	6.40	177
200.869565217391	56.6	2.2	8.00	179
200.869565217391	56.5	2.3	7.20	179
229.655172413793	76.1	3.1	6.50	186
210.967741935484	70.1	3.05	6.40	188
200.869565217391	0.0	0	6.90	191
240	120.1	4.10000000000001	7.70	192
200.869565217391	56.7	2.34	7.80	193
200.869565217391	56.5	2.35	7.60	193
200.869565217391	56.3	2.41	7.70	194
229.655172413793	76.2	2.95	7.20	199
197.142857142857	85.3	3.1	0.00	202
200.869565217391	56.5	2.405	8.00	202
200.869565217391	56.6	2.14	7.60	205
600	93.9	3.05	8.00	211
200.869565217391	56.8	2.035	7.60	212
279.512195121951	94.1	3.82	8.90	220
200.869565217391	56.6	2.155	7.30	221
269.142857142857	90.3	3.45	8.50	224
279.512195121951	94.0	3.5	8.40	224
260	94.0	3.86499999999999	8.40	232
240	77.3	3.1	8.90	236
279.512195121951	94.2	3.87	8.00	247
240	202.2	6.10000000000001	9.30	248
240	200.0	6	6.40	264
279.512195121951	94.0	3.685	7.70	272
240	120.0	4.5	8.70	273
240	120.0	5.05	8.90	298
254.705882352941	94.0	3.6	7.70	300
210.967741935484	54.7	3	8.30	302
231.891891891892	54.7	3.55	8.20	302
222.352941176471	54.6	3.1	8.20	305
231.891891891892	70.3	3.95	7.50	307
231.891891891892	70.5	3.95	8.00	309
240	120.3	5.1	9.80	313
279.512195121951	94.0	3.5	7.30	319
240	200.3	6.94999999999999	9.20	323
240	110.1	4.65000000000001	7.50	327
180	50.4	3	7.90	330
180	50.0	3.25	8.00	330
229.655172413793	38.3	3.05	7.90	330
229.655172413793	38.3	2.85	7.10	348
240	202.6	6.2	6.10	348
240	76.3	4.46	9.10	356
240	76.3	4.445	8.90	370
180	40.0	3.2	7.30	377
240	76.0	4.55	7.10	380
240	76.2	4.365	9.00	385
240	76.0	4.55	7.60	393
229.655172413793	38.0	3.25	6.80	398
240	72.2	4.84500000000001	7.20	405
240	76.3	4.27	8.90	410
240	75.8	4.6	8.10	426
233.333333333333	76.4	4.8	6.60	430
240	72.2	5.15	8.10	456
240	70.5	4.9	7.10	460
240	119.7	5.4	8.60	478
240	72.0	5.15	7.50	480
240	70.5	4.95	7.50	485
240	200.1	7.2	7.00	492
240	70.0	5	8.60	496
225.714285714286	38.4	3.965	8.60	503
240	76.0	4.9	8.70	508
240	72.4	4.84999999999999	8.20	509
225.714285714286	38.5	4.01	8.90	523
240	70.3	4.7	7.80	530
600	75.5	-37.75	8.00	547
225.714285714286	40.4	4.3	8.10	558
240	120.1	6.395	5.40	560
240	72.2	5	5.70	579
225.714285714286	40.4	4.035	6.40	588
600	75.8	4.78	8.80	598
225.714285714286	40.0	4.25	7.70	606
180	40.3	4.06	5.80	618
225.714285714286	40.1	4.27	6.70	619
225.714285714286	38.2	4.105	6.30	620
458.181818181818	75.4	5	9.60	624
240	70.1	6.03	9.50	627
600	107.2	6	7.50	640
233.333333333333	38.4	4.5	8.10	642
462.745098039216	75.0	5	8.00	661
487.272727272727	75.5	4.75	7.90	669
240	76.2	6.2	8.20	671
487.272727272727	75.6	4.7	7.90	675
600	75.6	4.65000000000001	8.50	675
276	100.7	7.79	11.70	680
480	94.2	6.55	10.40	680
400	75.5	6.71	10.40	690
240	70.8	5.7	8.90	697
180	50.3	5.145	7.00	698
234.339622641509	40.0	5	8.30	719
234.339622641509	50.4	5.215	6.00	733
600	75.4	4.895	7.50	749
600	75.5	4.89	7.40	757
240	120.0	10.2	10.20	758
400	94.0	6	7.50	774
371.428571428571	70.0	6.3	8.90	779
240	70.6	5.95	6.80	780
480	93.9	6.685	8.50	780
234.339622641509	40.3	5.1	7.00	791
240	0.0	0	8.20	791
240	70.0	6.5	6.30	792
400	75.4	6.09999999999999	8.70	795
240	76.3	7.85	6.40	804
228	38.4	4.9	6.50	814
240	150.0	10.15	9.00	819
